term_str,year,n,p,i,p_yr,i_yr,n_chars,modified_term_str
community,2013,103,0.0005497555455923483,10.828922127384663,0.0021495951248017365,8.861719330170986,9,community
can,2013,102,0.0005444181131108692,10.842997312596387,0.002128725269221137,8.875794515382708,3,can
all,2013,101,0.00053908068062939,10.857211171816088,0.0021078554136405377,8.89000837460241,3,all
than,2013,100,0.0005337432481479109,10.871566464793158,0.002086985558059938,8.90436366757948,4,than
reef,2013,95,0.0005070560857405154,10.945567046236935,0.0019826362801569413,8.978364249023256,4,reef
used,2013,95,0.0005070560857405154,10.945567046236935,0.0019826362801569413,8.978364249023256,4,used
our,2013,94,0.0005017186532590362,10.960833802890246,0.0019617664245763417,8.993631005676567,3,our
1,2013,94,0.0005017186532590362,10.960833802890246,0.0019617664245763417,8.993631005676567,1,1
it,2013,93,0.0004963812207775572,10.97626384345985,0.0019408965689957426,9.009061046246172,2,it
also,2013,93,0.0004963812207775572,10.97626384345985,0.0019408965689957426,9.009061046246172,4,also
population,2013,92,0.0004910437882960781,10.99186069851087,0.0019200267134151432,9.024657901297191,10,population
their,2013,92,0.0004910437882960781,10.99186069851087,0.0019200267134151432,9.024657901297191,5,their
other,2013,92,0.0004910437882960781,10.99186069851087,0.0019200267134151432,9.024657901297191,5,other
roadside,2013,91,0.00048570635581459895,11.007628014369185,0.0018991568578345438,9.040425217155509,8,roadside
doc,2013,89,0.00047503149085164075,11.039689223601485,0.001857417146673345,9.072486426387806,3,doc
benthic,2013,89,0.00047503149085164075,11.039689223601485,0.001857417146673345,9.072486426387806,7,benthic
there,2013,89,0.00047503149085164075,11.039689223601485,0.001857417146673345,9.072486426387806,5,there
but,2013,89,0.00047503149085164075,11.039689223601485,0.001857417146673345,9.072486426387806,3,but
model,2013,89,0.00047503149085164075,11.039689223601485,0.001857417146673345,9.072486426387806,5,model
different,2013,89,0.00047503149085164075,11.039689223601485,0.001857417146673345,9.072486426387806,9,different
during,2013,88,0.0004696940583701616,11.055991035930585,0.0018365472910927456,9.088788238716907,6,during
has,2013,86,0.0004590191934072034,11.089157899865784,0.0017948075799315468,9.121955102652107,3,has
m,2013,83,0.0004430068959627661,11.140383223220958,0.0017321980131897487,9.17318042600728,1,m
found,2013,82,0.00043766946348128695,11.157870649949798,0.0017113281576091493,9.190667852736121,5,found
corals,2013,82,0.00043766946348128695,11.157870649949798,0.0017113281576091493,9.190667852736121,6,corals
water,2013,81,0.00043233203099980787,11.175572651683257,0.0016904583020285499,9.208369854469579,5,water
p,2013,79,0.0004216571660368496,11.21164190639078,0.0016487185908673511,9.244439109177101,1,p
high,2013,79,0.0004216571660368496,11.21164190639078,0.0016487185908673511,9.244439109177101,4,high
2,2013,79,0.0004216571660368496,11.21164190639078,0.0016487185908673511,9.244439109177101,1,2
exudates,2013,78,0.00041631973355537054,11.230020435705635,0.0016278487352867517,9.262817638491956,8,exudates
study,2013,78,0.00041631973355537054,11.230020435705635,0.0016278487352867517,9.262817638491956,5,study
3,2013,77,0.0004109823010738914,11.248636113872982,0.0016069788797061523,9.281433316659303,1,3
number,2013,76,0.00040564486859241233,11.267495141124297,0.001586109024125553,9.300292343910618,6,number
most,2013,73,0.000389632571147975,11.325598095687866,0.001523499457383755,9.358395298474187,4,most
change,2013,72,0.00038429513866649587,11.34549765312557,0.0015026296018031556,9.378294855911891,6,change
index,2013,72,0.00038429513866649587,11.34549765312557,0.0015026296018031556,9.378294855911891,5,index
been,2013,72,0.00038429513866649587,11.34549765312557,0.0015026296018031556,9.378294855911891,4,been
ph,2013,70,0.00037362027370353766,11.386139637622916,0.0014608898906419568,9.418936840409238,2,ph
two,2013,70,0.00037362027370353766,11.386139637622916,0.0014608898906419568,9.418936840409238,3,two
three,2013,69,0.00036828284122205853,11.406898197789713,0.0014400200350613574,9.439695400576035,5,three
station,2013,67,0.00035760797625910033,11.44933346411011,0.0013982803239001587,9.482130666896431,7,station
may,2013,67,0.00035760797625910033,11.44933346411011,0.0013982803239001587,9.482130666896431,3,may
over,2013,66,0.0003522705437776212,11.47102853520943,0.0013774104683195593,9.50382573799575,4,over
across,2013,66,0.0003522705437776212,11.47102853520943,0.0013774104683195593,9.50382573799575,6,across
one,2013,66,0.0003522705437776212,11.47102853520943,0.0013774104683195593,9.50382573799575,3,one
i,2013,65,0.0003469331112961421,11.493054841539427,0.0013565406127389599,9.525852044325749,1,i
only,2013,65,0.0003469331112961421,11.493054841539427,0.0013565406127389599,9.525852044325749,4,only
citations,2013,64,0.000341595678814663,11.515422654567882,0.0013356707571583605,9.548219857354205,9,citations
site,2013,63,0.00033625824633318386,11.538142731067966,0.001314800901577761,9.570939933854287,4,site
both,2013,62,0.0003309208138517048,11.561226344181007,0.0012939310459971617,9.594023546967328,4,both
communities,2013,61,0.00032558338137022566,11.584685317004997,0.0012730611904165623,9.617482519791318,11,communities
do,2013,61,0.00032558338137022566,11.584685317004997,0.0012730611904165623,9.617482519791318,2,do
when,2013,61,0.00032558338137022566,11.584685317004997,0.0012730611904165623,9.617482519791318,4,when
reefs,2013,60,0.0003202459488887466,11.608532058959364,0.001252191334835963,9.641329261745685,5,reefs
oxygen,2013,60,0.0003202459488887466,11.608532058959364,0.001252191334835963,9.641329261745685,6,oxygen
effects,2013,59,0.00031490851640726745,11.632779605206041,0.0012313214792553635,9.665576807992363,7,effects
deme,2013,59,0.00031490851640726745,11.632779605206041,0.0012313214792553635,9.665576807992363,4,deme
range,2013,59,0.00031490851640726745,11.632779605206041,0.0012313214792553635,9.665576807992363,5,range
primary,2013,59,0.00031490851640726745,11.632779605206041,0.0012313214792553635,9.665576807992363,7,primary
samples,2013,58,0.0003095710839257883,11.65744165944031,0.0012104516236747642,9.690238862226632,7,samples
area,2013,57,0.00030423365144430925,11.68253264040314,0.0011895817680941648,9.715329843189462,4,area
significant,2013,57,0.00030423365144430925,11.68253264040314,0.0011895817680941648,9.715329843189462,11,significant
lineages,2013,56,0.0002988962189628301,11.708067732510278,0.0011687119125135654,9.7408649352966,8,lineages
genetic,2013,56,0.0002988962189628301,11.708067732510278,0.0011687119125135654,9.7408649352966,7,genetic
after,2013,56,0.0002988962189628301,11.708067732510278,0.0011687119125135654,9.7408649352966,5,after
temperature,2013,56,0.0002988962189628301,11.708067732510278,0.0011687119125135654,9.7408649352966,11,temperature
no,2013,56,0.0002988962189628301,11.708067732510278,0.0011687119125135654,9.7408649352966,2,no
recordings,2013,56,0.0002988962189628301,11.708067732510278,0.0011687119125135654,9.7408649352966,10,recordings
results,2013,56,0.0002988962189628301,11.708067732510278,0.0011687119125135654,9.7408649352966,7,results
depth,2013,55,0.000293558786481351,11.734062941043224,0.001147842056932966,9.766860143829545,5,depth
such,2013,55,0.000293558786481351,11.734062941043224,0.001147842056932966,9.766860143829545,4,such
sites,2013,55,0.000293558786481351,11.734062941043224,0.001147842056932966,9.766860143829545,5,sites
while,2013,55,0.000293558786481351,11.734062941043224,0.001147842056932966,9.766860143829545,5,while
average,2013,55,0.000293558786481351,11.734062941043224,0.001147842056932966,9.766860143829545,7,average
surface,2013,54,0.0002882213539998719,11.760535152404413,0.0011269722013523666,9.793332355190735,7,surface
time,2013,54,0.0002882213539998719,11.760535152404413,0.0011269722013523666,9.793332355190735,4,time
per,2013,54,0.0002882213539998719,11.760535152404413,0.0011269722013523666,9.793332355190735,3,per
distribution,2013,53,0.0002828839215183928,11.787502200004683,0.0011061023457717672,9.820299402791004,12,distribution
12,2013,53,0.0002828839215183928,11.787502200004683,0.0011061023457717672,9.820299402791004,2,12
environment,2013,53,0.0002828839215183928,11.787502200004683,0.0011061023457717672,9.820299402791004,11,environment
months,2013,53,0.0002828839215183928,11.787502200004683,0.0011061023457717672,9.820299402791004,6,months
pools,2013,52,0.0002775464890369137,11.81498293642679,0.0010852324901911678,9.847780139213112,5,pools
increase,2013,52,0.0002775464890369137,11.81498293642679,0.0010852324901911678,9.847780139213112,8,increase
10,2013,52,0.0002775464890369137,11.81498293642679,0.0010852324901911678,9.847780139213112,2,10
analysis,2013,52,0.0002775464890369137,11.81498293642679,0.0010852324901911678,9.847780139213112,8,analysis
higher,2013,52,0.0002775464890369137,11.81498293642679,0.0010852324901911678,9.847780139213112,6,higher
values,2013,52,0.0002775464890369137,11.81498293642679,0.0010852324901911678,9.847780139213112,6,values
algae,2013,51,0.0002722090565554346,11.842997312596387,0.0010643626346105684,9.875794515382708,5,algae
s,2013,51,0.0002722090565554346,11.842997312596387,0.0010643626346105684,9.875794515382708,1,s
net,2013,50,0.00026687162407395545,11.871566464793158,0.001043492779029969,9.90436366757948,3,net
science,2013,50,0.00026687162407395545,11.871566464793158,0.001043492779029969,9.90436366757948,7,science
based,2013,49,0.0002615341915924764,11.900712810452674,0.0010226229234493696,9.933510013238996,5,based
woodland,2013,48,0.00025619675911099724,11.930460153846726,0.0010017530678687703,9.963257356633049,8,woodland
c,2013,48,0.00025619675911099724,11.930460153846726,0.0010017530678687703,9.963257356633049,1,c
level,2013,47,0.0002508593266295181,11.960833802890246,0.0009808832122881709,9.993631005676567,5,level
compared,2013,47,0.0002508593266295181,11.960833802890246,0.0009808832122881709,9.993631005676567,8,compared
abundance,2013,47,0.0002508593266295181,11.960833802890246,0.0009808832122881709,9.993631005676567,9,abundance
showed,2013,47,0.0002508593266295181,11.960833802890246,0.0009808832122881709,9.993631005676567,6,showed
within,2013,47,0.0002508593266295181,11.960833802890246,0.0009808832122881709,9.993631005676567,6,within
n,2013,47,0.0002508593266295181,11.960833802890246,0.0009808832122881709,9.993631005676567,1,n
size,2013,46,0.00024552189414803904,11.99186069851087,0.0009600133567075716,10.024657901297191,4,size
however,2013,45,0.0002401844616665599,12.023569558238208,0.0009391435011269722,10.05636676102453,7,however
its,2013,45,0.0002401844616665599,12.023569558238208,0.0009391435011269722,10.05636676102453,3,its
lower,2013,44,0.0002348470291850808,12.055991035930585,0.0009182736455463728,10.088788238716907,5,lower
fjord,2013,44,0.0002348470291850808,12.055991035930585,0.0009182736455463728,10.088788238716907,5,fjord
could,2013,44,0.0002348470291850808,12.055991035930585,0.0009182736455463728,10.088788238716907,5,could
will,2013,44,0.0002348470291850808,12.055991035930585,0.0009182736455463728,10.088788238716907,4,will
differences,2013,44,0.0002348470291850808,12.055991035930585,0.0009182736455463728,10.088788238716907,11,differences
bacterial,2013,43,0.0002295095967036017,12.089157899865784,0.0008974037899657734,10.121955102652107,9,bacterial
they,2013,43,0.0002295095967036017,12.089157899865784,0.0008974037899657734,10.121955102652107,4,they
if,2013,43,0.0002295095967036017,12.089157899865784,0.0008974037899657734,10.121955102652107,2,if
production,2013,42,0.0002241721642221226,12.123105231789122,0.000876533934385174,10.155902434575443,10,production
growth,2013,42,0.0002241721642221226,12.123105231789122,0.000876533934385174,10.155902434575443,6,growth
treatments,2013,42,0.0002241721642221226,12.123105231789122,0.000876533934385174,10.155902434575443,10,treatments
concentrations,2013,42,0.0002241721642221226,12.123105231789122,0.000876533934385174,10.155902434575443,14,concentrations
total,2013,42,0.0002241721642221226,12.123105231789122,0.000876533934385174,10.155902434575443,5,total
typhoon,2013,42,0.0002241721642221226,12.123105231789122,0.000876533934385174,10.155902434575443,7,typhoon
where,2013,42,0.0002241721642221226,12.123105231789122,0.000876533934385174,10.155902434575443,5,where
lineage,2013,41,0.00021883473174064347,12.157870649949798,0.0008556640788045746,10.190667852736121,7,lineage
incubations,2013,41,0.00021883473174064347,12.157870649949798,0.0008556640788045746,10.190667852736121,11,incubations
d,2013,41,0.00021883473174064347,12.157870649949798,0.0008556640788045746,10.190667852736121,1,d
had,2013,41,0.00021883473174064347,12.157870649949798,0.0008556640788045746,10.190667852736121,3,had
into,2013,41,0.00021883473174064347,12.157870649949798,0.0008556640788045746,10.190667852736121,4,into
migration,2013,40,0.00021349729925916437,12.19349455968052,0.0008347942232239753,10.226291762466841,9,migration
ocean,2013,40,0.00021349729925916437,12.19349455968052,0.0008347942232239753,10.226291762466841,5,ocean
distance,2013,40,0.00021349729925916437,12.19349455968052,0.0008347942232239753,10.226291762466841,8,distance
diversity,2013,40,0.00021349729925916437,12.19349455968052,0.0008347942232239753,10.226291762466841,9,diversity
increased,2013,40,0.00021349729925916437,12.19349455968052,0.0008347942232239753,10.226291762466841,9,increased
then,2013,40,0.00021349729925916437,12.19349455968052,0.0008347942232239753,10.226291762466841,4,then
given,2013,39,0.00020815986677768527,12.230020435705635,0.0008139243676433759,10.262817638491956,5,given
available,2013,39,0.00020815986677768527,12.230020435705635,0.0008139243676433759,10.262817638491956,9,available
sampling,2013,39,0.00020815986677768527,12.230020435705635,0.0008139243676433759,10.262817638491956,8,sampling
year,2013,39,0.00020815986677768527,12.230020435705635,0.0008139243676433759,10.262817638491956,4,year
collected,2013,39,0.00020815986677768527,12.230020435705635,0.0008139243676433759,10.262817638491956,9,collected
calculated,2013,39,0.00020815986677768527,12.230020435705635,0.0008139243676433759,10.262817638491956,10,calculated
papers,2013,38,0.00020282243429620617,12.267495141124297,0.0007930545120627765,10.300292343910618,6,papers
system,2013,38,0.00020282243429620617,12.267495141124297,0.0007930545120627765,10.300292343910618,6,system
due,2013,38,0.00020282243429620617,12.267495141124297,0.0007930545120627765,10.300292343910618,3,due
changes,2013,38,0.00020282243429620617,12.267495141124297,0.0007930545120627765,10.300292343910618,7,changes
dispersal,2013,37,0.00019748500181472704,12.305969288938932,0.0007721846564821772,10.338766491725254,9,dispersal
dianthus,2013,37,0.00019748500181472704,12.305969288938932,0.0007721846564821772,10.338766491725254,8,dianthus
4,2013,37,0.00019748500181472704,12.305969288938932,0.0007721846564821772,10.338766491725254,1,4
web,2013,37,0.00019748500181472704,12.305969288938932,0.0007721846564821772,10.338766491725254,3,web
google,2013,36,0.00019214756933324793,12.34549765312557,0.0007513148009015778,10.378294855911891,6,google
mass,2013,36,0.00019214756933324793,12.34549765312557,0.0007513148009015778,10.378294855911891,4,mass
researchers,2013,36,0.00019214756933324793,12.34549765312557,0.0007513148009015778,10.378294855911891,11,researchers
recording,2013,36,0.00019214756933324793,12.34549765312557,0.0007513148009015778,10.378294855911891,9,recording
haplotypes,2013,35,0.00018681013685176883,12.386139637622916,0.0007304449453209784,10.418936840409238,10,haplotypes
gene,2013,35,0.00018681013685176883,12.386139637622916,0.0007304449453209784,10.418936840409238,4,gene
carbonate,2013,35,0.00018681013685176883,12.386139637622916,0.0007304449453209784,10.418936840409238,9,carbonate
through,2013,35,0.00018681013685176883,12.386139637622916,0.0007304449453209784,10.418936840409238,7,through
models,2013,35,0.00018681013685176883,12.386139637622916,0.0007304449453209784,10.418936840409238,6,models
shown,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,5,shown
local,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,5,local
road,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,4,road
planktonic,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,10,planktonic
scholar,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,7,scholar
dissolution,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,11,dissolution
large,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,5,large
similar,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,7,similar
significantly,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,13,significantly
following,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,9,following
described,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,9,described
although,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,8,although
cover,2013,34,0.00018147270437028973,12.427959813317543,0.000709575089740379,10.460757016103864,5,cover
see,2013,33,0.0001761352718888106,12.47102853520943,0.0006887052341597796,10.50382573799575,3,see
embryos,2013,33,0.0001761352718888106,12.47102853520943,0.0006887052341597796,10.50382573799575,7,embryos
metabolism,2013,33,0.0001761352718888106,12.47102853520943,0.0006887052341597796,10.50382573799575,10,metabolism
many,2013,33,0.0001761352718888106,12.47102853520943,0.0006887052341597796,10.50382573799575,4,many
sample,2013,33,0.0001761352718888106,12.47102853520943,0.0006887052341597796,10.50382573799575,6,sample
seawater,2013,32,0.0001707978394073315,12.515422654567882,0.0006678353785791802,10.548219857354205,8,seawater
pool,2013,32,0.0001707978394073315,12.515422654567882,0.0006678353785791802,10.548219857354205,4,pool
m2,2013,32,0.0001707978394073315,12.515422654567882,0.0006678353785791802,10.548219857354205,2,m2
survival,2013,32,0.0001707978394073315,12.515422654567882,0.0006678353785791802,10.548219857354205,8,survival
potential,2013,32,0.0001707978394073315,12.515422654567882,0.0006678353785791802,10.548219857354205,9,potential
first,2013,32,0.0001707978394073315,12.515422654567882,0.0006678353785791802,10.548219857354205,5,first
patterns,2013,32,0.0001707978394073315,12.515422654567882,0.0006678353785791802,10.548219857354205,8,patterns
user,2013,32,0.0001707978394073315,12.515422654567882,0.0006678353785791802,10.548219857354205,4,user
five,2013,32,0.0001707978394073315,12.515422654567882,0.0006678353785791802,10.548219857354205,4,five
likely,2013,32,0.0001707978394073315,12.515422654567882,0.0006678353785791802,10.548219857354205,6,likely
structure,2013,31,0.0001654604069258524,12.561226344181007,0.0006469655229985809,10.594023546967328,9,structure
franciscana,2013,31,0.0001654604069258524,12.561226344181007,0.0006469655229985809,10.594023546967328,11,franciscana
some,2013,31,0.0001654604069258524,12.561226344181007,0.0006469655229985809,10.594023546967328,4,some
areas,2013,31,0.0001654604069258524,12.561226344181007,0.0006469655229985809,10.594023546967328,5,areas
activity,2013,31,0.0001654604069258524,12.561226344181007,0.0006469655229985809,10.594023546967328,8,activity
example,2013,31,0.0001654604069258524,12.561226344181007,0.0006469655229985809,10.594023546967328,7,example
database,2013,31,0.0001654604069258524,12.561226344181007,0.0006469655229985809,10.594023546967328,8,database
databases,2013,31,0.0001654604069258524,12.561226344181007,0.0006469655229985809,10.594023546967328,9,databases
16s,2013,30,0.0001601229744443733,12.608532058959364,0.0006260956674179815,10.641329261745685,3,16s
egg,2013,30,0.0001601229744443733,12.608532058959364,0.0006260956674179815,10.641329261745685,3,egg
impact,2013,30,0.0001601229744443733,12.608532058959364,0.0006260956674179815,10.641329261745685,6,impact
producers,2013,30,0.0001601229744443733,12.608532058959364,0.0006260956674179815,10.641329261745685,9,producers
carbon,2013,30,0.0001601229744443733,12.608532058959364,0.0006260956674179815,10.641329261745685,6,carbon
studies,2013,30,0.0001601229744443733,12.608532058959364,0.0006260956674179815,10.641329261745685,7,studies
loss,2013,30,0.0001601229744443733,12.608532058959364,0.0006260956674179815,10.641329261745685,4,loss
specific,2013,30,0.0001601229744443733,12.608532058959364,0.0006260956674179815,10.641329261745685,8,specific
mean,2013,30,0.0001601229744443733,12.608532058959364,0.0006260956674179815,10.641329261745685,4,mean
rate,2013,30,0.0001601229744443733,12.608532058959364,0.0006260956674179815,10.641329261745685,4,rate
initial,2013,30,0.0001601229744443733,12.608532058959364,0.0006260956674179815,10.641329261745685,7,initial
composition,2013,29,0.00015478554196289416,12.65744165944031,0.0006052258118373821,10.690238862226632,11,composition
salt,2013,29,0.00015478554196289416,12.65744165944031,0.0006052258118373821,10.690238862226632,4,salt
lagoon,2013,29,0.00015478554196289416,12.65744165944031,0.0006052258118373821,10.690238862226632,6,lagoon
17,2013,29,0.00015478554196289416,12.65744165944031,0.0006052258118373821,10.690238862226632,2,17
before,2013,29,0.00015478554196289416,12.65744165944031,0.0006052258118373821,10.690238862226632,6,before
journal,2013,29,0.00015478554196289416,12.65744165944031,0.0006052258118373821,10.690238862226632,7,journal
eg,2013,29,0.00015478554196289416,12.65744165944031,0.0006052258118373821,10.690238862226632,2,eg
including,2013,29,0.00015478554196289416,12.65744165944031,0.0006052258118373821,10.690238862226632,9,including
low,2013,29,0.00015478554196289416,12.65744165944031,0.0006052258118373821,10.690238862226632,3,low
ie,2013,29,0.00015478554196289416,12.65744165944031,0.0006052258118373821,10.690238862226632,2,ie
associated,2013,29,0.00015478554196289416,12.65744165944031,0.0006052258118373821,10.690238862226632,10,associated
natural,2013,28,0.00014944810948141506,12.708067732510278,0.0005843559562567827,10.7408649352966,7,natural
environmental,2013,28,0.00014944810948141506,12.708067732510278,0.0005843559562567827,10.7408649352966,13,environmental
north,2013,28,0.00014944810948141506,12.708067732510278,0.0005843559562567827,10.7408649352966,5,north
wood,2013,28,0.00014944810948141506,12.708067732510278,0.0005843559562567827,10.7408649352966,4,wood
climate,2013,28,0.00014944810948141506,12.708067732510278,0.0005843559562567827,10.7408649352966,7,climate
present,2013,28,0.00014944810948141506,12.708067732510278,0.0005843559562567827,10.7408649352966,7,present
montipora,2013,28,0.00014944810948141506,12.708067732510278,0.0005843559562567827,10.7408649352966,9,montipora
frog,2013,28,0.00014944810948141506,12.708067732510278,0.0005843559562567827,10.7408649352966,4,frog
relative,2013,28,0.00014944810948141506,12.708067732510278,0.0005843559562567827,10.7408649352966,8,relative
less,2013,28,0.00014944810948141506,12.708067732510278,0.0005843559562567827,10.7408649352966,4,less
b,2013,28,0.00014944810948141506,12.708067732510278,0.0005843559562567827,10.7408649352966,1,b
centre,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,6,centre
dry,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,3,dry
effect,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,6,effect
relationship,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,12,relationship
g,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,1,g
9,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,1,9
exposure,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,8,exposure
turf,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,4,turf
represent,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,9,represent
river,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,5,river
organic,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,7,organic
difference,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,10,difference
anova,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,5,anova
processes,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,9,processes
scale,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,5,scale
approximately,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,13,approximately
5,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,1,5
period,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,6,period
even,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,4,even
bird,2013,27,0.00014411067699993596,12.760535152404413,0.0005634861006761833,10.793332355190735,4,bird
sequences,2013,26,0.00013877324451845685,12.81498293642679,0.0005426162450955839,10.847780139213112,9,sequences
flow,2013,26,0.00013877324451845685,12.81498293642679,0.0005426162450955839,10.847780139213112,4,flow
might,2013,26,0.00013877324451845685,12.81498293642679,0.0005426162450955839,10.847780139213112,5,might
global,2013,26,0.00013877324451845685,12.81498293642679,0.0005426162450955839,10.847780139213112,6,global
stations,2013,26,0.00013877324451845685,12.81498293642679,0.0005426162450955839,10.847780139213112,8,stations
main,2013,26,0.00013877324451845685,12.81498293642679,0.0005426162450955839,10.847780139213112,4,main
same,2013,26,0.00013877324451845685,12.81498293642679,0.0005426162450955839,10.847780139213112,4,same
responses,2013,26,0.00013877324451845685,12.81498293642679,0.0005426162450955839,10.847780139213112,9,responses
recent,2013,25,0.00013343581203697772,12.871566464793158,0.0005217463895149845,10.90436366757948,6,recent
