year,term_str,n,p,i,p_yr,i_yr
2013,number,135,0.00026281208935611036,11.893680738390907,0.0016075064597944773,9.280959749600477
2013,p,135,0.00026281208935611036,11.893680738390907,0.0016075064597944773,9.280959749600477
2013,area,134,0.0002608653331386577,11.904407144983967,0.0015955990045367404,9.291686156193537
2013,during,132,0.0002569718207037524,11.926102216083285,0.0015717840940212668,9.313381227292854
2013,found,132,0.0002569718207037524,11.926102216083285,0.0015717840940212668,9.313381227292854
2013,1,131,0.0002550250644862997,11.937073333904289,0.0015598766387635299,9.324352345113859
2013,m,126,0.00024529128339903635,11.993216411941821,0.0015003393624748456,9.380495423151391
2013,different,125,0.0002433445271815837,12.004712050779652,0.0014884319072171086,9.391991061989222
2013,h,124,0.00024139777096413102,12.016300025054864,0.0014765244519593717,9.403579036264434
2013,microbial,122,0.00023750425852922568,12.039758997878852,0.0014527095414438981,9.427038009088422
2013,climate,120,0.00023361074609432034,12.06360573983322,0.0014288946309284243,9.45088475104279
2013,changes,120,0.00023361074609432034,12.06360573983322,0.0014288946309284243,9.45088475104279
2013,no,119,0.00023166398987686766,12.075678572133794,0.0014169871756706874,9.462957583343364
2013,within,118,0.000229717233659415,12.087853286079897,0.0014050797204129505,9.475132297289466
2013,c,115,0.00022387696500705698,12.125006284497363,0.00136935735463974,9.512285295706933
2013,only,115,0.00022387696500705698,12.125006284497363,0.00136935735463974,9.512285295706933
2013,2,114,0.00022193020878960432,12.137606321276998,0.001357449899382003,9.524885332486567
2013,model,113,0.00021998345257215164,12.150317373026551,0.0013455424441242661,9.53759638423612
