doc_id,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
29,2.1929825147117906e-05,2.1929825105089538e-05,2.192982512526603e-05,2.1929825085196217e-05,0.8501854906895989,2.1929824947587376e-05,2.1929825174928363e-05,2.1929824949691393e-05,2.192982507937735e-05,2.192982505512044e-05,2.192982518874278e-05,2.192982505340072e-05,0.07843759266262983,2.1929825087822964e-05,2.1929825056729784e-05,2.192982505793244e-05,2.192982518686864e-05,2.1929825015916182e-05,2.1929825076255777e-05,0.07100410962137825
30,1.8789929132048554e-05,1.8789928962109405e-05,1.878992910562986e-05,1.8789929167808683e-05,1.8789928941875207e-05,1.8789928915040045e-05,1.878992890252356e-05,1.8789928933534623e-05,1.8789928983508167e-05,1.8789929092374486e-05,1.878992895870988e-05,1.8789928918466283e-05,1.878992889334595e-05,1.8789929000918872e-05,1.87899289288372e-05,1.8789929008751887e-05,0.9484542562183025,1.8789928995101683e-05,1.8789929022926858e-05,0.05120752505983392
31,0.059478035773458976,0.06467960510753219,3.3738192534515737e-05,3.3738192309660575e-05,3.3738192360856615e-05,3.373819245656728e-05,0.017473415203168984,3.373819209493814e-05,0.01781998861965368,3.373819229872571e-05,3.37381924012992e-05,0.04395739782338568,0.050338365596756036,0.28757816091604876,0.2956705821399671,0.014061801982147152,0.022851280442543698,3.373819230912933e-05,0.0804909708294018,0.04533049002717026
32,2.89855077618457e-05,2.898550770436573e-05,2.8985507731623114e-05,2.898550781838625e-05,2.8985507728173416e-05,2.8985507732233902e-05,2.8985507764192012e-05,2.898550769274463e-05,2.8985507734321835e-05,2.8985507849412393e-05,2.8985507691202478e-05,2.898550770740872e-05,2.8985507805150317e-05,0.9994492753522519,2.898550787264476e-05,2.89855077518918e-05,2.8985507888875644e-05,2.8985507873113998e-05,2.89855078670643e-05,2.898550777325957e-05
33,0.010233617884858706,2.8636885112127432e-05,0.006162372769208667,0.05418447315349871,0.020646747188078098,2.863688490108113e-05,2.8636885052029655e-05,2.8636884977960947e-05,0.02558850601486753,2.8636884838813102e-05,2.863688485587863e-05,0.012472295136552802,2.863688504012983e-05,0.6377316139214727,0.069666929870632,0.009938545295104906,0.011365824923665556,2.8636884789842323e-05,0.14175134187738148,2.8636885110931733e-05
34,1.9334880628728656e-05,1.933488045397026e-05,0.2060293776585934,1.9334880516823907e-05,1.9334880544188252e-05,1.933488069590947e-05,1.9334880590483854e-05,1.9334880458404675e-05,0.04148300435841137,1.9334880515986158e-05,1.933488050987993e-05,1.9334880573104822e-05,0.023251104499522668,0.03157072351267861,0.07737394684655635,0.5586105677392438,1.9334880627232223e-05,1.9334880582295617e-05,1.9334880600535316e-05,0.06142992193769626
35,3.0959753240116296e-05,3.095975294510852e-05,3.0959752898838814e-05,3.0959752850157154e-05,3.095975284599118e-05,3.095975299781251e-05,0.010094550984130774,3.0959752982097375e-05,0.8427488958641383,3.0959752916480714e-05,3.0959752975312384e-05,3.09597528592689e-05,3.095975288760961e-05,3.095975302651855e-05,3.095975302665504e-05,3.0959752985847136e-05,3.095975294003414e-05,3.095975289237423e-05,0.1466302373514662,3.095975299456666e-05
36,2.630194697141123e-05,2.6301946869281093e-05,2.6301947024701644e-05,2.6301946866336092e-05,2.6301947027990734e-05,2.630194696416751e-05,0.037789455389773324,2.6301946959149967e-05,2.6301947053361827e-05,0.5897357202527151,2.6301947032608896e-05,2.630194695922403e-05,2.6301946859757746e-05,2.630194705210208e-05,0.15677742532423955,0.04493948433789179,2.6301946857386376e-05,0.016626166011569445,0.1537635214264328,2.630194688045589e-05
37,0.037610508298134136,3.9062500823869246e-05,3.906250082864631e-05,3.906250064806391e-05,3.9062500893045756e-05,3.9062501059145075e-05,3.90625010852412e-05,3.906250090522532e-05,3.90625010129759e-05,0.9616863666851219,3.9062501112428205e-05,3.906250085234347e-05,3.906250079714497e-05,3.90625009136858e-05,3.906250101524238e-05,3.906250111965936e-05,3.906250094275234e-05,3.9062500822505916e-05,3.906250096587183e-05,3.906250094634249e-05
38,4.444444554472498e-05,4.4444445386445196e-05,0.16672485691062888,4.444444554644071e-05,0.3352925939159774,0.0301607713939253,0.009574193955226339,4.444444545348832e-05,4.444444553232595e-05,4.4444445430043304e-05,0.042633826901783,4.444444516973286e-05,0.15973054536551307,4.4444445465991606e-05,0.18177376943174925,4.444444534076326e-05,0.002272165506186054,4.444444545189328e-05,0.07134838771916756,4.4444445521381726e-05
